genes,Symbol,logFC,unshrunk.logFC,logCPM,PValue,FDR
FXYD4,NA,-3.027603056,-3.041392894,1.454036968,3.81E-08,2.52E-06
PLSCR5,NA,-3.033776395,-4.098264413,-2.782275713,4.08E-05,0.001615857
KRT23,NA,-3.041907252,-3.042766119,5.417895732,4.94E-09,3.61E-07
SPRR4,NA,-3.048790092,-3.515860974,-2.404102332,0.000675428,0.019339671
DSC1,NA,-3.050286317,-3.130376636,-0.817317615,1.47E-08,1.01E-06
CGB,NA,-3.051209589,-3.073095573,0.837311838,0.000100862,0.00370428
FTHL3,NA,-3.055233738,-3.062894221,2.30284578,7.06E-14,9.66E-12
RIMS2,NA,-3.060334686,-3.08682488,0.594168158,9.18E-11,8.45E-09
TRPM8,NA,-3.070061981,-3.16015181,-0.932095834,1.08E-11,1.10E-09
TLX3,NA,-3.088665298,-3.420937694,-2.14957207,2.99E-05,0.001219204
RNASE7,NA,-3.105790302,-3.113929481,2.267343637,2.34E-05,0.000985252
PPIAL4C,NA,-3.110418088,-3.169674507,-0.398570781,3.41E-12,3.65E-10
SPINK7,NA,-3.120840965,-3.124269112,3.512013616,0.000444331,0.013454434
SLC38A4,NA,-3.166667189,-3.175678788,2.187276421,1.86E-12,2.09E-10
LGALS14,NA,-3.178207758,-3.502300327,-2.058918433,0.000142891,0.004997518
CPB2,NA,-3.18274596,-3.351007379,-1.509621086,7.59E-09,5.41E-07
ANXA2P3,NA,-3.18845618,-3.263608649,-0.616052489,3.95E-13,4.83E-11
CCL16,NA,-3.197707443,-3.251199665,-0.190508533,3.72E-08,2.48E-06
SLC17A2,NA,-3.200139624,-3.949586407,-2.581000944,6.45E-05,0.002464192
FLJ43860,NA,-3.200225548,-3.452886089,-1.873537789,1.68E-06,8.85E-05
RHAG,NA,-3.343726269,-3.729320033,-2.11449236,8.01E-08,5.06E-06
GPR123,NA,-3.356583238,-3.411403417,-0.074106418,1.46E-09,1.15E-07
FETUB,NA,-3.358998938,-3.447326417,-0.668663444,0.000268541,0.008695802
TRIML2,NA,-3.378171119,-3.601530183,-1.635542178,2.36E-07,1.39E-05
CFHR5,NA,-3.39733072,-3.768923714,-2.053969186,1.27E-05,0.000563392
CRYGC,NA,-3.404737629,-5.005424815,-2.779177825,3.79E-07,2.17E-05
CLDN10,NA,-3.461694836,-3.479182047,1.553244943,6.28E-11,5.92E-09
ZBBX,NA,-3.467693149,-4.313918415,-2.51324611,2.60E-07,1.52E-05
CER1,NA,-3.472940566,-3.865857306,-2.049057485,2.69E-06,0.000133936
SERPINC1,NA,-3.477105142,-3.605668788,-0.996674633,2.52E-12,2.77E-10
ATP12A,NA,-3.479701247,-3.520025637,0.43597691,1.07E-05,0.000486383
LY6G6C,NA,-3.53478249,-3.547562626,2.062440235,5.93E-14,8.23E-12
CDC20B,NA,-3.560209698,-3.662088702,-0.65336955,2.97E-11,2.95E-09
ESX1,NA,-3.613284924,-3.914048045,-1.740969399,3.39E-05,0.001373371
MMP20,NA,-3.640462604,-3.802740405,-1.114274136,1.23E-07,7.49E-06
CFHR2,NA,-3.68053626,-4.391132755,-2.323438386,0.000650651,0.018763045
KRT27,NA,-3.692157816,-3.825526226,-0.85004969,1.77E-07,1.06E-05
SPRR2G,NA,-3.742137482,-3.762463949,1.617518837,9.94E-05,0.003658775
RPTN,NA,-3.74709889,-3.797791806,0.381609301,1.76E-06,9.18E-05
KRTDAP,NA,-3.777700445,-3.788538951,2.535087197,0.001671269,0.043486878
LOC415056,NA,-3.872818258,-4.573943321,-2.226354766,2.19E-08,1.48E-06
KPRP,NA,-3.92347537,-3.939368398,2.139454264,0.000391731,0.012039271
LIPK,NA,-4.006922304,-5.493776093,-2.526245475,1.27E-07,7.72E-06
C3orf43,NA,-4.028269496,-4.400369897,-1.644667737,5.67E-11,5.39E-09
ACSM2B,NA,-4.094293952,-4.271282725,-0.844305645,1.09E-07,6.75E-06
COL20A1,NA,-4.240529171,-4.512290472,-1.18602193,7.73E-09,5.49E-07
BPIL2,NA,-4.295817278,-5.122058472,-2.096445031,5.76E-07,3.20E-05
FLG,NA,-4.421667061,-4.429181447,3.698137612,2.08E-15,3.35E-13
KRT28,NA,-4.440124587,-6.144855886,-2.357257941,3.73E-05,0.001495663
FMR1NB,NA,-4.490055308,-5.647361576,-2.157264549,3.06E-08,2.05E-06
CALCA,NA,-4.51163445,-4.66644573,-0.329660352,5.24E-12,5.49E-10
POU3F2,NA,-4.512051822,-4.759659583,-0.86545839,6.04E-13,7.25E-11
LCT,NA,-4.770270072,-4.784955312,3.089549575,2.55E-15,4.02E-13
PNLIPRP3,NA,-4.803603158,-5.169840565,-1.050677751,1.12E-08,7.84E-07
PSKH2,NA,-4.805466159,-7.027739822,-2.271951518,8.14E-05,0.003054629
CA6,NA,-4.849165927,-5.431852649,-1.439421531,1.76E-10,1.56E-08
ALB,NA,-4.877052225,-4.877560781,8.026019623,4.32E-09,3.19E-07
ASCL1,NA,-5.321250521,-5.333147067,3.937228051,5.99E-18,1.31E-15
CSH2,NA,-5.523166032,-7.171069423,-1.720120316,2.71E-07,1.58E-05
AFM,NA,-5.606609092,-5.87537473,-0.008768764,5.12E-05,0.001986855
KRTAP3-1,NA,-5.608648272,-5.797890416,0.418637164,3.61E-11,3.53E-09
KRTAP3-2,NA,-5.988342355,-6.450966995,-0.298378642,1.19E-08,8.29E-07
BPIL1,NA,-6.397547183,-6.421937045,3.984578126,8.65E-10,7.00E-08
TTC29,NA,-6.572082912,-7.221729288,-0.117375795,1.96E-12,2.19E-10
AFP,NA,-6.751767183,-6.760114556,5.871013418,5.67E-10,4.69E-08
OR8K5,NA,-6.940250242,-8.015998033,-0.280104108,1.33E-05,0.00058394
