genes,Symbol,logFC,unshrunk.logFC,logCPM,PValue,FDR
UBE2NL,NA,-1.651927417,-1.716640587,-1.746603123,0.000276638,0.008915824
LCN12,NA,-1.660762858,-1.668242719,0.864544823,0.001827512,0.046853817
CDHR4,NA,-1.661394,-1.830126618,-2.485938086,0.001940402,0.049226051
C7orf57,NA,-1.664557707,-1.694278289,-0.900157937,0.001220673,0.032930892
STXBP5L,NA,-1.669775285,-1.691129347,-0.498860203,0.001668077,0.043458923
RGSL1,NA,-1.681200642,-2.603693456,-3.095901791,0.00065072,0.018763045
CEACAM5,NA,-1.685643752,-1.68565388,10.33893824,0.001789369,0.046173576
VWA3A,NA,-1.698020333,-1.829262554,-2.297818949,0.000515357,0.015333724
GRIK2,NA,-1.706697023,-1.730988212,-0.618744605,0.000710006,0.020301413
SRP14P1,NA,-1.709719509,-1.785628905,-1.843050487,0.000103365,0.003775956
GPR37,NA,-1.709877587,-1.715539067,1.302645834,0.000369564,0.011443677
NEK5,NA,-1.711913842,-1.736978615,-0.648983187,0.000202178,0.006849366
SLC34A3,NA,-1.715019186,-1.731364914,-0.111954951,0.000352198,0.011005506
HCN1,NA,-1.716817722,-1.787910835,-1.780523879,0.001848472,0.047318121
CFHR3,NA,-1.725166334,-1.837389489,-2.164068302,0.001277987,0.034296819
CACNA1G,NA,-1.732049417,-1.748123726,-0.075319312,0.000910529,0.025295217
PTTG3P,NA,-1.738349668,-1.884231231,-2.347876172,0.000118157,0.004248257
DNAH12,NA,-1.74138142,-1.774803528,-0.961927396,8.23E-05,0.003082573
PHACTR3,NA,-1.741988817,-1.748871806,1.070518073,0.000841757,0.023705435
BPIL3,NA,-1.743339041,-144269478.1,-3.216419415,0.000205582,0.006953223
CXorf27,NA,-1.744166342,-3.953739986,-3.183066381,0.000136014,0.004789661
NACA2,NA,-1.750862207,-1.754129038,2.118004084,0.000209718,0.007062229
LOC100128554,NA,-1.7534776,-2.580091904,-3.05857437,0.001209928,0.032727036
ACOT12,NA,-1.7619164,-2.613095834,-3.067207047,0.00098662,0.027298252
VGF,NA,-1.771252909,-1.773272207,2.823302681,0.001022734,0.02818353
CSNK1A1L,NA,-1.7717329,-1.856633943,-1.899030852,0.000252892,0.008320299
C6orf218,NA,-1.771871135,-1.890706867,-2.18197923,0.001330987,0.035626032
KCNT1,NA,-1.774908581,-1.795683579,-0.353052014,0.001028521,0.028305011
WDR65,NA,-1.785600677,-1.890789873,-2.066557214,0.000146432,0.005095331
PGAP3,NA,-1.7967735,-1.796944196,6.39862082,7.17E-06,0.000339163
PNMT,NA,-1.801030065,-1.830359726,-0.748535767,0.000353604,0.011032649
CATSPERB,NA,-1.817624802,-1.821717501,1.878642301,7.23E-05,0.002741726
RGS20,NA,-1.829389298,-1.858666856,-0.718809038,0.000569656,0.016755078
MUC17,NA,-1.844736239,-1.844768628,8.851335468,0.001415765,0.037601109
GCGR,NA,-1.848620952,-1.945895345,-1.953104909,0.000584727,0.017124751
LHFPL3,NA,-1.855710487,-1.864150296,0.917927735,0.000359678,0.011205146
EFCAB1,NA,-1.858245399,-1.90317496,-1.1838914,5.76E-05,0.002218689
OR4N3P,NA,-1.859317124,-3.074315552,-3.102173008,0.001107938,0.030207132
GRXCR2,NA,-1.862731801,-2.992806453,-3.095392306,0.001443627,0.038242157
GRIN3B,NA,-1.863881238,-1.901357632,-0.979635397,0.000183908,0.006303218
PIWIL3,NA,-1.863896166,-2.150697754,-2.680407511,0.001859783,0.047548377
ALDH1A2,NA,-1.864042261,-1.868569014,1.790076828,0.000504325,0.015092991
ANO3,NA,-1.871299084,-1.898619557,-0.596314289,0.000554999,0.016394423
CHRNB2,NA,-1.878908072,-1.885508708,1.281862875,0.000305873,0.009781262
TSPAN19,NA,-1.896227038,-3.409843908,-3.128654812,0.000410347,0.01251773
MTUS2,NA,-1.896604631,-1.905653566,0.868270259,0.000308958,0.009849245
CTCFL,NA,-1.902754673,-1.910923382,1.012555451,0.001766749,0.045681813
CEACAM6,NA,-1.912140076,-1.912161937,9.496550697,8.59E-05,0.003199817
SCRT1,NA,-1.921661117,-2.052755312,-2.157286164,8.75E-05,0.003248275
SCG3,NA,-1.921811372,-1.926263587,1.878389012,0.001037557,0.028439312
BNIPL,NA,-1.924080132,-1.928136232,2.011257797,0.0015553,0.040831599
SFTPD,NA,-1.92416276,-1.946447041,-0.286118928,0.000571282,0.01677886
LOC100130274,NA,-1.933660035,-2.123420835,-2.403378992,0.000669839,0.01920641
C2orf39,NA,-1.934243859,-2.045970922,-2.014385977,9.25E-05,0.003428045
KLK7,NA,-1.939496007,-1.940142402,4.647634454,0.001828052,0.046853817
ANGPTL5,NA,-1.940394166,-2.03947214,-1.909267581,0.000315999,0.010006055
RPL19P12,NA,-1.949186863,-1.953716697,1.88438308,2.47E-07,1.45E-05
LOC442459,NA,-1.95293882,-2.316071447,-2.760290251,0.000201343,0.006832358
DPY19L2P1,NA,-1.955946999,-2.03315375,-1.67085081,0.000148183,0.005130181
LOC401387,NA,-1.971404706,-2.023849168,-1.254804932,0.000427963,0.012997146
LRAT,NA,-1.973857073,-1.981669646,1.153832212,0.000316678,0.010006055
DRD2,NA,-1.974969631,-1.991870304,0.11740202,0.00038143,0.011757897
INSM1,NA,-1.975258949,-1.976606308,3.635104778,0.000601486,0.017540485
PLA2G4D,NA,-1.977393214,-1.995641334,0.020613407,0.000187963,0.006420768
HSP90B3P,NA,-1.982406233,-2.019063186,-0.840576028,2.92E-06,0.000144553
C1orf87,NA,-1.982816238,-2.243715123,-2.573519938,0.001790266,0.046173576
HBG2,NA,-1.982943466,-2.21477545,-2.513486749,0.000275791,0.00890249
KIAA1751,NA,-1.998009088,-2.037858838,-0.925973315,0.000138,0.004851274
GABRB2,NA,-2.007672676,-2.013274014,1.652516035,0.000104043,0.003787227
SLC22A9,NA,-2.013653692,-2.106035044,-1.787288882,0.000639557,0.018545357
INHA,NA,-2.0137367,-2.032639945,0.014182194,0.000316802,0.010006055
HAP1,NA,-2.021527685,-2.028939298,1.278941099,9.48E-05,0.00349316
LOC731789,NA,-2.0226653,-2.036499976,0.431297422,0.001701713,0.044167083
ATP6V1B1,NA,-2.02682554,-2.037366027,0.801448933,2.15E-05,0.000914585
PCDHA8,NA,-2.027512013,-2.111363338,-1.687398229,0.000819283,0.023167868
GBX2,NA,-2.030697163,-2.153563554,-2.033401522,0.0002662,0.008668032
PRMT8,NA,-2.039456062,-2.309433256,-2.56673149,0.000162032,0.005590786
GNRH2,NA,-2.041517385,-2.699835874,-2.93681797,0.000654718,0.018851852
LPPR1,NA,-2.049447467,-2.073145551,-0.242740294,0.000103582,0.003777156
ZMAT4,NA,-2.050372183,-2.201192425,-2.181333077,0.000246782,0.008132323
LCE3C,NA,-2.053852137,-6.470755938,-3.180116472,0.001933175,0.049118925
ENPP3,NA,-2.057750185,-2.062587651,1.910711935,0.000482013,0.014488617
MRGPRE,NA,-2.064419715,-2.18849556,-2.012671193,0.000246213,0.008126607
MUM1L1,NA,-2.074613859,-2.101528492,-0.375499064,0.000267121,0.008668032
OPRD1,NA,-2.079101215,-2.151968876,-1.509356807,0.001651287,0.043076643
BCL8,NA,-2.081325271,-2.119185746,-0.78265847,6.39E-05,0.002446351
FER1L5,NA,-2.08190342,-2.119306253,-0.767551434,2.32E-05,0.000977101
C17orf37,NA,-2.093994833,-2.094111927,7.282150111,1.17E-08,8.13E-07
BRS3,NA,-2.096503627,-2.435499903,-2.660416935,0.00026487,0.008645119
CPN2,NA,-2.097987992,-2.142809803,-0.967047232,0.000138623,0.004864854
RUNDC3A,NA,-2.103294964,-2.111231164,1.272003036,1.25E-05,0.000555456
ASB15,NA,-2.107282056,-2.34565708,-2.467405541,0.000375654,0.01159727
CHRNA4,NA,-2.108367527,-2.18847292,-1.57724727,0.000310234,0.009868226
TEX15,NA,-2.109539453,-2.119853259,0.918258769,0.000330879,0.01041864
NPBWR1,NA,-2.117950649,-2.237185433,-1.947734175,0.000399065,0.012217952
TNNT2,NA,-2.119866446,-2.15911355,-0.78843651,2.48E-06,0.000125121
SLIT1,NA,-2.120826124,-2.131396489,0.89775838,2.14E-06,0.000110205
HAL,NA,-2.124315263,-2.138052297,0.545529852,5.91E-06,0.000284961
NTS,NA,-2.13126156,-2.136640394,1.843771969,0.000170713,0.00587059
LOC647288,NA,-2.138571266,-2.217539991,-1.549976575,5.12E-07,2.85E-05
ANKRD33,NA,-2.138897487,-2.203446556,-1.33593799,0.000238453,0.007883153
AMBN,NA,-2.145053871,-2.506061937,-2.665199435,0.001920793,0.04889813
LOC100240726,NA,-2.145477115,-2.518426132,-2.683327422,0.000209565,0.007062229
KRTAP1-1,NA,-2.154109196,-2.762051177,-2.881642489,9.44E-05,0.003492993
MYT1,NA,-2.157568676,-2.173463746,0.389975928,0.000122974,0.004406016
EDDM3A,NA,-2.160760764,-2.604714854,-2.751369429,0.000233093,0.007755926
SPINK5,NA,-2.160963935,-2.16107211,7.470673861,0.000593725,0.017338805
C21orf54,NA,-2.171054796,-4.140709386,-3.110076426,0.000230199,0.007697043
C1orf158,NA,-2.178824095,-2.869843841,-2.906865051,0.000185678,0.006353273
