"genes","Symbol","logFC","unshrunk.logFC","logCPM","PValue","FDR"
"CPNE5",NA,2.16112360872452,2.16221302793125,4.14622490409407,1.85282708519444e-18,4.41880607989977e-16
"MGC29506",NA,3.02268068794261,3.02348854400018,5.48633246902116,1.86491491442702e-18,4.41880607989977e-16
"LOC100233209",NA,2.2868106804584,2.29305641738449,1.79808620963082,1.87255786142854e-18,4.41880607989977e-16
"ARHGAP25",NA,1.97344557438503,1.97428885164623,4.30430464286534,2.43294205809521e-18,5.67594323326075e-16
"SLA2",NA,2.11090553263421,2.11412762408703,2.54304471489493,2.9116190113593e-18,6.7163526183378e-16
"PPP1R16B",NA,2.14373072125865,2.14430756055497,5.04037491158688,3.04293478568355e-18,6.94127235000926e-16
"LILRA4",NA,2.98621410431725,3.02740712329387,-0.0576549254117713,3.2488393283198e-18,7.3295243308138e-16
"SIRPG",NA,2.32724536435234,2.33074770035492,2.65857244257666,3.86040143187885e-18,8.61456971700791e-16
"IL2RB",NA,2.02980314046624,2.03018161559411,5.51991918736247,4.87327667614461e-18,1.07578892646504e-15
"ASCL1",NA,-5.32125052074323,-5.33314706680019,3.93722805076272,5.99023998002991e-18,1.30829390202143e-15
"IGLL1",NA,7.57221247886108,8.09829521624444,1.01425109564541,1.00270882711074e-17,2.16690654953511e-15
"TMC8",NA,2.02786175150521,2.02843603772857,4.91783544899055,1.02099242055801e-17,2.18343483271416e-15
"LTB",NA,2.45485341606483,2.45587055780613,4.56210726830577,1.04729531640421e-17,2.21659513874005e-15
"TMEM156",NA,2.3700608418262,2.37851286319035,1.46446562808063,1.27842786378825e-17,2.67817592281356e-15
"CCR4",NA,2.42111315763517,2.42760667759561,1.88462572148226,1.34769985960047e-17,2.7947755674341e-15
"SPIB",NA,3.48047744613383,3.48267631478128,4.51361289141086,2.48493623547102e-17,5.10157409142201e-15
"TIGIT",NA,2.24765161749371,2.25125649075279,2.53234206520068,2.64841619246446e-17,5.38336479517776e-15
